line_type,mkp_name,mkp_order_no,order_date,ordoro_id,sku,item_sale_price,item_tax,shipping_sale,total_per_sku,title,supplier_name,order_status,item_cost,cancelled_value,transport_cost_est,first_pick_date,last_delivery_date,courier,mage_mkp_commission,mkp_estimated_commission,mkp_actual_commission,order_grand_total,ordoro_import_date,tool_import_date,max_shipping_date,max_delivery_date,cd_status,is_clogistique_order,line_status,transport_cost_actual,order_place_time,order_prep_time,order_delivery_time,order_total_time,gm_estimated
ORDER LINE,PriceMinister,322607714,9/23/20 7:46,1-300056382,MOB-S3-Mix-WhiteGloss-2-Modern,259.95,0,0,259.95,,MOB,shipped,78.52,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,0,38.99,0,259.95,9/23/20 11:45,9/23/20 11:46,10/2/20 0:00,10/7/20 0:00,,No,Awaiting shipment,0,10,0,0,10,99.12
ORDER LINE,PriceMinister,322792657,9/24/20 22:25,1-300056591,BIM-A1-N3357,79.95,0,0,79.95,,BIM,shipped,28.99,0,13.9,0000-00-00 00:00:00,0000-00-00 00:00:00,,0,11.99,0,79.95,9/25/20 8:01,9/25/20 8:10,10/5/20 0:00,10/8/20 0:00,,No,Awaiting shipment,0,8,0,0,8,11.75
ORDER LINE,PriceMinister,322836927,9/24/20 22:25,1-300056586,KK-KKWMOOVNAV0000,319.95,0,0,319.95,,KK,shipped,171,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,0,47.99,0,319.95,9/25/20 0:49,9/25/20 0:51,10/5/20 0:00,10/8/20 0:00,,No,Awaiting shipment,0,8,0,0,8,47.64
ORDER LINE,PriceMinister,322867229,9/25/20 16:54,1-300056683,MAL-107504,69.95,0,0,69.95,,MAL,shipped,24.93,0,0,9/29/20 18:17,0000-00-00 00:00:00,DPD,0,10.49,0,69.95,9/25/20 18:46,9/25/20 18:51,10/6/20 0:00,10/9/20 0:00,,No,Awaiting shipment,0,2,1,3,6,22.87
ORDER LINE,PriceMinister,322875353,9/25/20 20:06,1-300056707,TOP-KaroK6/140/white,139.95,0,0,139.95,,TOP,shipped,47.59,0,16,9/29/20 17:19,10/2/20 10:24,UPS,0,20.99,0,139.95,9/25/20 22:12,9/25/20 22:15,10/6/20 0:00,10/9/20 0:00,,No,Awaiting shipment,0,1,1,2,4,32.05
ORDER LINE,PriceMinister,322974993,9/28/20 16:32,1-300057130,SOW-HUST-KOKON-LODY-WANIL,77.95,0,0,77.95,,SOW,awaiting_fulfillment,25.3,0,15.95,0000-00-00 00:00:00,0000-00-00 00:00:00,DPD,0,11.69,0,77.95,9/28/20 18:36,9/28/20 18:45,10/7/20 0:00,10/12/20 0:00,,No,Awaiting Protocol,0,2,2,0,4,12.02
ORDER LINE,PriceMinister,322974993,9/28/20 16:32,1-300057130,SOW-HUST-KOKON-LODY-WANIL,77.95,0,0,77.95,,SOW,awaiting_fulfillment,25.3,0,15.95,0000-00-00 00:00:00,0000-00-00 00:00:00,DPD,0,11.69,0,77.95,9/28/20 18:36,9/28/20 18:45,10/7/20 0:00,10/12/20 0:00,,No,Awaiting Protocol,0,2,2,0,4,12.02
ORDER LINE,PriceMinister,323137671,10/3/20 7:27,1-300057920,TOP-KaroK8/140/white,162.95,0,0,162.95,,TOP,awaiting_fulfillment,55.46,0,32.12,0000-00-00 00:00:00,0000-00-00 00:00:00,,0,24.44,0,162.95,10/3/20 10:27,10/3/20 10:30,10/13/20 0:00,10/16/20 0:00,,No,Awaiting Protocol,0,0,0,0,0,23.77
ORDER LINE,PriceMinister,323142909,10/2/20 23:49,1-300057907,BA-BARCELONA-BLACK-L,59.95,0,0,59.95,,BAG,awaiting_fulfillment,18,0,15.95,0000-00-00 00:00:00,0000-00-00 00:00:00,,0,8.99,0,59.95,10/3/20 2:58,10/3/20 3:00,10/13/20 0:00,10/16/20 0:00,,No,Awaiting Protocol,0,0,0,0,0,7.02
ORDER LINE,CDiscount,200926000000000,9/26/20 14:39,1-300056803,TOP-MalwaM6/140/white,89.95,0,19.95,109.9,,TOP,shipped,43.95,0,0,9/29/20 17:18,10/2/20 17:19,UPS,0,0,5.49,109.9,9/26/20 17:27,9/26/20 17:30,10/9/20 0:00,10/20/20 0:00,WaitingForShipmentAcceptation,No,Awaiting shipment,0,1,1,3,5,42.14
ORDER LINE,CDiscount,200927000000000,9/27/20 6:17,1-300056871,AKO-K120-6SZ-BIALA,89.95,0,19.95,109.9,,AKO,shipped,39.16,0,0,9/29/20 12:18,10/2/20 13:04,UPS,0,0,8.79,109.9,9/27/20 10:04,9/27/20 10:10,10/9/20 0:00,10/20/20 0:00,WaitingForShipmentAcceptation,No,Awaiting shipment,0,6,1,3,10,43.63
ORDER LINE,CDiscount,200927000000000,9/27/20 17:21,1-300056986,AKO-K60-6SZ-BIALA,119.95,0,19.95,139.9,,AKO,shipped,42.74,0,0,9/29/20 12:16,0000-00-00 00:00:00,UPS,3.36,0,24.34,143.26,9/27/20 21:50,9/27/20 21:51,10/9/20 0:00,10/20/20 0:00,WaitingForShipmentAcceptation,No,Awaiting shipment,0,5,1,4,10,46.7
ORDER LINE,CDiscount,200927000000000,9/27/20 17:21,1-300056986,AKO-K60-6SZ-BIALA,119.95,0,19.95,139.9,,AKO,shipped,42.74,0,0,9/29/20 12:16,0000-00-00 00:00:00,UPS,3.36,0,24.34,143.26,9/27/20 21:50,9/27/20 21:51,10/9/20 0:00,10/20/20 0:00,WaitingForShipmentAcceptation,No,Awaiting shipment,0,5,1,4,10,46.7
ORDER LINE,CDiscount,200927000000000,9/27/20 11:07,1-300056899,TOP-MalwaM6/140/white,89.95,0,19.95,109.9,,TOP,shipped,43.95,0,0,9/29/20 17:24,0000-00-00 00:00:00,UPS,2.63,0,8.12,112.53,9/27/20 14:40,9/27/20 14:45,10/9/20 0:00,10/20/20 0:00,WaitingForShipmentAcceptation,No,Awaiting shipment,0,6,1,3,10,37.32
ORDER LINE,CDiscount,201001000000000,10/1/20 20:04,1-300057698,TOP-MalwaM6/140/white,89.95,0,19.95,109.9,,TOP,awaiting_fulfillment,43.95,0,29.61,0000-00-00 00:00:00,0000-00-00 00:00:00,UPS,0,0,11.83,216.8,10/1/20 23:10,10/1/20 23:11,10/15/20 0:00,10/26/20 0:00,WaitingForShipmentAcceptation,No,Awaiting Protocol,0,1,1,0,2,6.19
ORDER LINE,CDiscount,201001000000000,10/1/20 20:04,1-300057698,TOP-W5/black,86.95,0,19.95,106.9,,TOP,awaiting_fulfillment,37.39,0,15.95,0000-00-00 00:00:00,0000-00-00 00:00:00,DPD,0,0,11.83,216.8,10/1/20 23:10,10/1/20 23:11,10/15/20 0:00,10/26/20 0:00,WaitingForShipmentAcceptation,No,Awaiting Protocol,0,1,1,0,2,23.91
ORDER LINE,CDiscount,201002000000000,10/2/20 16:53,1-300057858,AKO-K60-3SZ-BIALA-METALIK-POLYSK,106.95,0,19.95,126.9,,AKO,awaiting_fulfillment,46.32,0,15.95,0000-00-00 00:00:00,0000-00-00 00:00:00,,3.05,0,24.62,129.95,10/2/20 19:48,10/2/20 19:51,10/16/20 0:00,10/27/20 0:00,WaitingForShipmentAcceptation,No,Awaiting Protocol,0,0,0,0,0,16.32
ORDER LINE,CDiscount,201002000000000,10/2/20 17:12,1-300057863,AKO-KUCHNIA-LIMA-180,172.95,0,19.95,192.9,,AKO,awaiting_fulfillment,67.78,0,23.09,0000-00-00 00:00:00,0000-00-00 00:00:00,,4.63,0,20.06,197.53,10/2/20 21:52,10/2/20 22:00,10/16/20 0:00,10/27/20 0:00,WaitingForShipmentAcceptation,No,Awaiting Protocol,0,0,0,0,0,45.96
ORDER LINE,CDiscount,201002000000000,10/2/20 12:35,1-300057801,HA-C009-Biala,71.95,0,9.95,81.9,,HAA,awaiting_fulfillment,23.76,0,15.95,0000-00-00 00:00:00,0000-00-00 00:00:00,,1.97,0,15.89,83.87,10/2/20 15:25,10/2/20 15:30,10/16/20 0:00,10/27/20 0:00,WaitingForShipmentAcceptation,No,Awaiting Protocol,0,1,0,0,1,11.01
ORDER LINE,CDiscount,201002000000000,10/2/20 10:22,1-300057780,TOP-MalwaM6/140/white,89.95,0,19.95,109.9,,TOP,awaiting_fulfillment,43.95,0,29.61,0000-00-00 00:00:00,0000-00-00 00:00:00,,2.64,0,8.13,112.54,10/2/20 14:13,10/2/20 14:15,10/16/20 0:00,10/27/20 0:00,WaitingForShipmentAcceptation,No,Awaiting Protocol,0,1,0,0,1,7.69
ORDER LINE,CDiscount,20090822490NYP2,9/8/20 20:49,1-300054778,AKO-SZAFKA-BUTY-3D-UCHYLNE-BIALA-POLYSK,134.95,0,19.95,154.9,,AKO,shipped,58.84,0,0,9/10/20 21:19,9/15/20 15:21,DPD,0,0,23.23,154.9,9/9/20 0:33,9/9/20 0:45,9/23/20 0:00,10/2/20 0:00,WaitingForShipmentAcceptation,No,Awaiting shipment,0,1,0,4,5,47.01
ORDER LINE,CDiscount,20090822490NYP2,9/8/20 20:49,1-300054778,AKO-SZAFKA-BUTY-3D-UCHYLNE-BIALA-POLYSK,134.95,0,19.95,154.9,,AKO,shipped,58.84,0,0,9/10/20 21:19,9/15/20 15:21,DPD,0,0,23.23,154.9,9/9/20 0:33,9/9/20 0:45,9/23/20 0:00,10/2/20 0:00,WaitingForShipmentAcceptation,No,Awaiting shipment,0,1,0,4,5,47.01
ORDER LINE,CDiscount,20090822540NKZH,9/8/20 20:54,1-300054777,AKO-K120-6SZ-BIALA,124.95,0,19.95,144.9,,AKO,shipped,39.16,0,16,9/10/20 11:15,0000-00-00 00:00:00,UPS,0,0,21.73,144.9,9/9/20 0:33,9/9/20 0:45,9/23/20 0:00,10/2/20 0:00,WaitingForShipmentAcceptation,No,Awaiting shipment,0,24,1,23,48,43.86
ORDER LINE,CDiscount,20090822540NKZH,9/8/20 20:54,1-300054777,AKO-K120-6SZ-BIALA,124.95,0,19.95,144.9,,AKO,shipped,39.16,0,16,9/10/20 11:15,0000-00-00 00:00:00,UPS,0,0,21.73,144.9,9/9/20 0:33,9/9/20 0:45,9/23/20 0:00,10/2/20 0:00,WaitingForShipmentAcceptation,No,Awaiting shipment,0,24,1,23,48,43.86
ORDER LINE,CDiscount,20090823210LVT1,9/8/20 21:21,1-300054779,AKO-B-16-CLP-NAROZNE-BIALE-PRAWE,159.95,0,19.95,179.9,,AKO,shipped,51.68,0,16,9/11/20 11:23,9/16/20 11:17,UPS,0,0,26.98,179.9,9/9/20 0:33,9/9/20 0:45,9/23/20 0:00,10/2/20 0:00,WaitingForShipmentAcceptation,No,Awaiting shipment,0,24,2,4,30,55.26
ORDER LINE,CDiscount,20090823210LVT1,9/8/20 21:21,1-300054779,AKO-B-16-CLP-NAROZNE-BIALE-PRAWE,159.95,0,19.95,179.9,,AKO,shipped,51.68,0,16,9/11/20 11:23,9/16/20 11:17,UPS,0,0,26.98,179.9,9/9/20 0:33,9/9/20 0:45,9/23/20 0:00,10/2/20 0:00,WaitingForShipmentAcceptation,No,Awaiting shipment,0,24,2,4,30,55.26
ORDER LINE,CLogistique,20090901180HTEH,9/8/20 23:18,1-300054781,TOP-MalwaM2/mix sonoma-white,39.95,0,0,39.95,,TOP,shipped,12.17,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,0,0,3.19,39.95,9/9/20 1:41,9/9/20 1:45,9/9/20 0:00,9/11/20 0:00,Shipped,Yes,Awaiting shipment,0,24,0,0,24,17.93
ORDER LINE,CLogistique,20090901180HTEH,9/8/20 23:18,1-300054781,TOP-MalwaM2/mix sonoma-white,39.95,0,0,39.95,,TOP,shipped,12.17,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,0,0,3.19,39.95,9/9/20 1:41,9/9/20 1:45,9/9/20 0:00,9/11/20 0:00,Shipped,Yes,Awaiting shipment,0,24,0,0,24,17.93
ORDER LINE,CDiscount,20090901190HSTI,9/8/20 23:19,1-300054784,AKO-K120-6SZ-BIALA,124.95,0,19.95,144.9,,AKO,shipped,39.16,0,16,9/10/20 11:16,9/15/20 9:20,UPS,0,0,21.73,144.9,9/9/20 3:04,9/9/20 3:10,9/23/20 0:00,10/2/20 0:00,Shipped,No,Awaiting shipment,0,24,1,4,29,43.86
ORDER LINE,CDiscount,20090901190HSTI,9/8/20 23:19,1-300054784,AKO-K120-6SZ-BIALA,124.95,0,19.95,144.9,,AKO,shipped,39.16,0,16,9/10/20 11:16,9/15/20 9:20,UPS,0,0,21.73,144.9,9/9/20 3:04,9/9/20 3:10,9/23/20 0:00,10/2/20 0:00,Shipped,No,Awaiting shipment,0,24,1,4,29,43.86
ORDER LINE,CLogistique,20090901280HNM3,9/8/20 23:28,1-300054783,TOP-Garderoba/black,99.95,0,0,99.95,,TOP,shipped,35.24,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,2.4,0,17.39,102.35,9/9/20 1:41,9/9/20 1:45,9/9/20 0:00,9/11/20 0:00,Shipped,Yes,Awaiting shipment,0,24,0,0,24,28.66
ORDER LINE,CLogistique,20090901280HNM3,9/8/20 23:28,1-300054783,TOP-Garderoba/black,99.95,0,0,99.95,,TOP,shipped,35.24,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,,2.4,0,17.39,102.35,9/9/20 1:41,9/9/20 1:45,9/9/20 0:00,9/11/20 0:00,Shipped,Yes,Awaiting shipment,0,24,0,0,24,28.66
ORDER LINE,CDiscount,20090904140FZLM,9/9/20 2:14,1-300054785,AKO-K60-5SZ-SONOMA-BIALA,126.95,0,19.95,146.9,,AKO,shipped,37.38,0,16,9/10/20 11:22,9/21/20 7:31,UPS,0,0,22.03,146.9,9/9/20 5:18,9/9/20 5:30,9/23/20 0:00,10/2/20 0:00,Shipped,No,Awaiting shipment,0,24,1,10,35,47.01
ORDER LINE,CDiscount,20090904140FZLM,9/9/20 2:14,1-300054785,AKO-K60-5SZ-SONOMA-BIALA,126.95,0,19.95,146.9,,AKO,shipped,37.38,0,16,9/10/20 11:22,9/21/20 7:31,UPS,0,0,22.03,146.9,9/9/20 5:18,9/9/20 5:30,9/23/20 0:00,10/2/20 0:00,Shipped,No,Awaiting shipment,0,24,1,10,35,47.01
ORDER LINE,CDiscount,20090905440DSWS,9/9/20 3:44,1-300054786,TOP-S33/white,68.95,0,9.95,78.9,,TOP,shipped,23.98,0,0,9/10/20 23:59,9/18/20 16:11,DPD,0,0,11.83,78.9,9/9/20 7:36,9/9/20 7:45,9/23/20 0:00,10/2/20 0:00,WaitingForShipmentAcceptation,No,Awaiting shipment,0,24,1,7,32,29.94
ORDER LINE,CDiscount,20090905440DSWS,9/9/20 3:44,1-300054786,TOP-S33/white,68.95,0,9.95,78.9,,TOP,shipped,23.98,0,0,9/10/20 23:59,9/18/20 16:11,DPD,0,0,11.83,78.9,9/9/20 7:36,9/9/20 7:45,9/23/20 0:00,10/2/20 0:00,WaitingForShipmentAcceptation,No,Awaiting shipment,0,24,1,7,32,29.94
ORDER LINE,CDiscount,20090906410D34U,9/9/20 4:41,1-300054788,TOP-2D4S/120/dab_artisan,124.95,0,19.95,144.9,,TOP,shipped,46.7,0,16,9/10/20 17:19,9/15/20 9:52,UPS,3.48,0,25.21,148.38,9/9/20 8:44,9/9/20 8:45,9/23/20 0:00,10/2/20 0:00,Shipped,No,Awaiting shipment,0,24,0,4,28,29.94
ORDER LINE,CDiscount,20090906410D34U,9/9/20 4:41,1-300054788,TOP-2D4S/120/dab_artisan,124.95,0,19.95,144.9,,TOP,shipped,46.7,0,16,9/10/20 17:19,9/15/20 9:52,UPS,3.48,0,25.21,148.38,9/9/20 8:44,9/9/20 8:45,9/23/20 0:00,10/2/20 0:00,Shipped,No,Awaiting shipment,0,24,0,4,28,29.94
ORDER LINE,CDiscount,20090907330C5E3,9/9/20 5:33,1-300054790,TOP-2D4S/120/dab_artisan,124.95,0,19.95,144.9,,TOP,shipped,46.7,0,16,9/10/20 17:21,9/15/20 15:50,UPS,3.48,0,25.21,148.38,9/9/20 8:44,9/9/20 8:45,9/23/20 0:00,10/2/20 0:00,Shipped,No,Awaiting shipment,0,24,0,4,28,29.94
ORDER LINE,CDiscount,20090907330C5E3,9/9/20 5:33,1-300054790,TOP-2D4S/120/dab_artisan,124.95,0,19.95,144.9,,TOP,shipped,46.7,0,16,9/10/20 17:21,9/15/20 15:50,UPS,3.48,0,25.21,148.38,9/9/20 8:44,9/9/20 8:45,9/23/20 0:00,10/2/20 0:00,Shipped,No,Awaiting shipment,0,24,0,4,28,29.94
ORDER LINE,CDiscount,20090907430BUUQ,9/9/20 5:43,1-300054793,AKO-K60-5SZ-BIALA-SONOMA,126.95,0,19.95,146.9,,AKO,shipped,37.38,0,16,9/11/20 12:10,9/16/20 11:38,UPS,0,0,22.03,146.9,9/9/20 8:44,9/9/20 8:45,9/23/20 0:00,10/2/20 0:00,WaitingForShipmentAcceptation,No,Awaiting shipment,0,24,2,4,30,47.01
